details,prix,adresse,image_lien
Cochin caillouté,Prix sur demande,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5795056_uploaded_image1_1772163078.jpg
Poussin hermine,7 500CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5786408_uploaded_image1_1771698246.jpg
Lapereaux,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5782021_uploaded_image1_1771503339.jpg
Poulets de chair,3 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5780864_uploaded_image1_1771450383.jpg
Brahman herminé,35 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5778994_uploaded_image1_1771363080.jpg
Couple lapin 6 mois,35 000CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5773429_uploaded_image1_1770999151.jpg
Œufs fécondés,2 500CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5740994_uploaded_image1_1769368723.jpg
Poule Brahma,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5717554_uploaded_image1_1768255739.jpg
Poussin dinde chair,3 500CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5714121_uploaded_image1_1768054212.jpg
Lapins,25 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5693264_uploaded_image1_1766935865.jpg
Pigeons,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5674944_uploaded_image1_1765881198.jpg
Pigeon King,60 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5669544_uploaded_image1_1765545674.jpg
Poulettes pré ponte de 124 jours,5 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5655142_uploaded_image2_1764832679.jpeg
Poussin goliath,300CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5648409_uploaded_image1_1764510412.jpg
Poulet Goliath,Prix sur demande,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5648319_uploaded_image1_1764504900.jpg
Pigeon Voyageur,20 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5642510_uploaded_image1_1764173213.jpg
Poule Brahman ,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5594420_uploaded_image1_1761683034.jpg
Femmel cailloute,30 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5587969_uploaded_image1_1761236540.jpg
