web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien,conteneur
"1772319900-1","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot mâle bichon","100 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5601862_uploaded_image1_1762106679.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-male-bichon-4108812"
"1772319903-2","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Caniche bichon","150 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4117078_uploaded_image1_1677779647.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-caniche-bichon-4117078"
"1772319905-3","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots malinois","280 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4118286_uploaded_image1_1677846223.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4118286"
"1772319908-4","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot bichon maltais","130 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4118672_uploaded_image1_1677860063.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4118672"
"1772319910-5","https://sn.coinafrique.com/categorie/chiens?page=5","Chien berger allemand","140 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4657472_uploaded_image1_1711294709.jpg","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4121621"
"1772319912-6","https://sn.coinafrique.com/categorie/chiens?page=5","Chien Bichon","150 000 CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_4124637_uploaded_image1_1678229133.jpg","https://sn.coinafrique.com/annonce/chiens/chien-bichon-4124637"
"1772319915-7","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger allemand","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5352744_uploaded_image2_1748635949.jpeg","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4125859"
"1772319917-8","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Bichon Maltais","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5104979_uploaded_image2_1734994461.jpeg","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4125861"
"1772319919-9","https://sn.coinafrique.com/categorie/chiens?page=5","Chiens Rottweiler","1 350 000 CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4126333_uploaded_image1_1678330232.jpg","https://sn.coinafrique.com/annonce/chiens/chiens-rottweiler-4126333"
"1772319922-10","https://sn.coinafrique.com/categorie/chiens?page=5","Chienne Labrador","650 000 CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4126334_uploaded_image1_1678330605.jpg","https://sn.coinafrique.com/annonce/chiens/chienne-labrador-4126334"
